symbol,time,type,pnl_r,regime,dollar_pnl,balance
EURJPY,2025-12-08 09:40:00,ANTITESIS,5.1,TRENDING,254.99999999999997,3360.0
EURJPY,2025-12-09 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3325.0
EURJPY,2025-12-10 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3290.0
EURJPY,2025-12-11 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3255.0
EURJPY,2025-12-12 06:15:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3307.5
EURJPY,2025-12-15 08:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3272.5
EURJPY,2025-12-16 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3237.5
EURJPY,2025-12-17 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3202.5
EURJPY,2025-12-18 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3167.5
EURJPY,2025-12-19 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3132.5
EURJPY,2025-12-22 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3097.5
EURJPY,2025-12-23 07:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3062.5
EURJPY,2025-12-24 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,3027.5
EURJPY,2025-12-26 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,2992.5
EURJPY,2025-12-29 08:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,2957.5
EURJPY,2025-12-30 08:35:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3010.0
EURJPY,2025-12-31 06:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,3062.5
